response,lrt_chisq,lrt_pval,coef_female,pval_female,lower_female,upper_female,se_female,zval_tval_female,coef_non_binary,pval_non_binary,lower_non_binary,upper_non_binary,se_non_binary,zval_tval_non_binary,coef_mid,pval_mid,se_mid,zval_tval_mid,coef_late,pval_late,se_late,zval_tval_late,coef_other,pval_other,se_other,zval_tval_other,lrt_qval
more_comfort_asking_owngender_speaker_rating,36.304,0,1.222,0,0.785,1.673,0.226,5.402,2.441,0,1.08,3.781,0.681,3.583,-0.345,0.104,0.211,-1.631,-0.617,0.062,0.33,-1.869,-0.222,0.657,0.5,-0.444,0
more_comfort_asking_owngender_audience_rating,41.061,0,1.327,0,0.903,1.764,0.219,6.054,1.902,0.004,0.585,3.201,0.659,2.888,-0.114,0.583,0.208,-0.549,-0.453,0.175,0.333,-1.358,-0.161,0.73,0.466,-0.345,0
more_comfort_asking_smallaudience_rating,15.805,0,0.791,0,0.389,1.196,0.206,3.843,-0.074,0.913,-1.419,1.25,0.673,-0.109,-0.295,0.145,0.202,-1.46,-0.588,0.058,0.309,-1.901,-0.37,0.445,0.484,-0.765,0.002
more_comfort_asking_owngender_host_rating,19.64,0,0.921,0,0.487,1.368,0.224,4.109,1.578,0.019,0.255,2.923,0.672,2.349,-0.215,0.318,0.215,-1,-0.707,0.033,0.33,-2.141,0.119,0.818,0.515,0.231,0
more_comfort_asking_know_speaker_rating,2.759,0.252,0.304,0.123,-0.081,0.691,0.197,1.545,-0.187,0.778,-1.512,1.138,0.665,-0.282,-0.334,0.094,0.199,-1.679,-0.836,0.006,0.304,-2.752,-0.776,0.119,0.497,-1.562,0.318
reason_question_interest,4.05,0.132,-0.529,0.166,-1.275,0.218,0.381,-1.387,14.303,0.987,-1753.05,1781.656,901.727,0.016,-0.529,0.107,0.329,-1.61,1.731,0.096,1.04,1.665,0.646,0.543,1.064,0.608,0.217
reason_question_voiceheard,5.946,0.051,-0.601,0.193,-1.505,0.304,0.461,-1.302,1.787,0.057,-0.052,3.626,0.938,1.904,0.856,0.094,0.511,1.673,0.703,0.334,0.727,0.967,1.564,0.072,0.869,1.8,0.128
reason_question_appreciate,0.984,0.612,-0.243,0.365,-0.769,0.283,0.268,-0.907,-0.597,0.589,-2.763,1.568,1.105,-0.541,0.144,0.608,0.28,0.514,0.496,0.192,0.38,1.304,0.418,0.497,0.615,0.679,0.679
reason_question_understand,0.841,0.657,-0.049,0.849,-0.553,0.455,0.257,-0.19,-0.748,0.348,-2.31,0.814,0.797,-0.938,0.207,0.426,0.26,0.796,-0.445,0.204,0.351,-1.271,0.934,0.23,0.778,1.2,0.691
reason_question_relevance,1.289,0.525,0.072,0.753,-0.375,0.518,0.228,0.314,0.929,0.28,-0.757,2.615,0.86,1.08,0.096,0.673,0.228,0.422,-0.052,0.875,0.334,-0.157,-1.029,0.088,0.604,-1.705,0.618
reason_noquestion_clever,2.737,0.254,0.418,0.107,-0.091,0.928,0.26,1.61,0.516,0.523,-1.067,2.099,0.808,0.639,-0.815,0.001,0.25,-3.258,-1.789,0,0.499,-3.584,-0.449,0.432,0.571,-0.787,0.318
reason_noquestion_misunderstand,0.363,0.834,0.037,0.879,-0.435,0.508,0.24,0.152,0.484,0.55,-1.101,2.069,0.809,0.598,-0.958,0,0.24,-3.995,-1.496,0,0.402,-3.718,0.019,0.972,0.54,0.036,0.834
reason_noquestion_intimidated_audience,6.27,0.043,0.76,0.021,0.115,1.405,0.329,2.309,-0.107,0.925,-2.326,2.111,1.132,-0.095,-1.211,0,0.322,-3.762,-1.197,0.018,0.505,-2.369,-1.075,0.169,0.781,-1.376,0.124
reason_noquestion_intimidated_setting,4.871,0.088,0.719,0.126,-0.203,1.641,0.47,1.528,2.002,0.036,0.129,3.876,0.956,2.094,-0.974,0.044,0.483,-2.016,0.293,0.563,0.505,0.579,0.698,0.315,0.694,1.006,0.175
reason_noquestion_relevance,3.894,0.143,-0.264,0.255,-0.719,0.19,0.232,-1.139,-1.688,0.125,-3.844,0.469,1.1,-1.534,-0.329,0.16,0.234,-1.403,-0.71,0.051,0.363,-1.955,0.636,0.248,0.55,1.156,0.217
reason_noquestion_phrasing,11.191,0.004,0.9,0.002,0.343,1.458,0.285,3.164,1.026,0.205,-0.562,2.614,0.81,1.266,-0.57,0.024,0.253,-2.251,-1.588,0.002,0.503,-3.156,-0.987,0.141,0.67,-1.474,0.015
reason_noquestion_notime,3.771,0.152,-0.403,0.108,-0.895,0.088,0.251,-1.608,0.62,0.438,-0.948,2.188,0.8,0.775,0.554,0.034,0.262,2.116,1.204,0.001,0.353,3.406,0.374,0.543,0.615,0.608,0.217
reason_noquestion_introvert,4.035,0.133,0.515,0.072,-0.047,1.077,0.287,1.797,-0.426,0.702,-2.604,1.752,1.111,-0.383,-0.347,0.192,0.267,-1.303,-0.961,0.041,0.471,-2.042,-1.024,0.189,0.78,-1.312,0.217
reason_noquestion_private,5.367,0.068,0.297,0.201,-0.159,0.753,0.233,1.277,-1.553,0.158,-3.707,0.601,1.099,-1.413,-0.047,0.837,0.229,-0.206,-1.106,0.004,0.379,-2.918,0.394,0.473,0.55,0.717,0.152
reason_noquestion_confidence,7.642,0.022,0.784,0.012,0.176,1.392,0.31,2.526,-0.233,0.835,-2.422,1.957,1.117,-0.208,-0.42,0.119,0.269,-1.559,-2.914,0.005,1.026,-2.84,-0.59,0.379,0.671,-0.879,0.073
