response,lrt_chisq,lrt_pval,coef_female,pval_female,lower_female,upper_female,se_female,zval_tval_female,coef_non_binary,pval_non_binary,lower_non_binary,upper_non_binary,se_non_binary,zval_tval_non_binary,coef_mid,pval_mid,se_mid,zval_tval_mid,coef_late,pval_late,se_late,zval_tval_late,coef_other,pval_other,se_other,zval_tval_other,lrt_qval
more_comfort_asking_owngender_speaker_rating,36.553,0,1.227,0,0.789,1.678,0.226,5.416,2.473,0,1.094,3.827,0.69,3.586,-0.185,0.478,0.26,-0.711,-1.073,0.017,0.448,-2.398,-0.096,0.839,0.473,-0.203,0
more_comfort_asking_owngender_audience_rating,40.794,0,1.326,0,0.901,1.762,0.22,6.037,1.883,0.005,0.56,3.186,0.661,2.848,-0.251,0.318,0.251,-0.999,-0.771,0.107,0.476,-1.618,-0.112,0.802,0.448,-0.251,0
more_comfort_asking_smallaudience_rating,15.734,0,0.793,0,0.391,1.198,0.206,3.858,-0.004,0.995,-1.349,1.319,0.673,-0.006,-0.154,0.53,0.244,-0.629,-0.322,0.431,0.408,-0.788,-0.169,0.711,0.455,-0.371,0.002
more_comfort_asking_owngender_host_rating,19.68,0,0.915,0,0.482,1.361,0.224,4.085,1.628,0.016,0.304,2.974,0.672,2.423,0.013,0.961,0.262,0.049,-0.925,0.048,0.467,-1.983,0.038,0.936,0.473,0.08,0
more_comfort_asking_know_speaker_rating,2.63,0.268,0.296,0.135,-0.091,0.685,0.198,1.499,-0.2,0.764,-1.524,1.125,0.665,-0.3,-0.506,0.033,0.237,-2.137,-0.856,0.031,0.396,-2.163,-0.673,0.16,0.478,-1.409,0.336
reason_question_interest,4.112,0.128,-0.524,0.166,-1.266,0.217,0.378,-1.386,14.349,0.987,-1763.226,1791.925,906.943,0.016,0.163,0.697,0.418,0.39,1.243,0.232,1.039,1.196,1.004,0.338,1.048,0.958,0.205
reason_question_voiceheard,6.198,0.045,-0.62,0.181,-1.527,0.287,0.463,-1.339,1.817,0.051,-0.004,3.638,0.929,1.956,0.976,0.054,0.506,1.929,0.005,0.996,1.07,0.005,1.206,0.142,0.821,1.47,0.113
reason_question_appreciate,1.085,0.581,-0.253,0.345,-0.78,0.273,0.269,-0.944,-0.643,0.561,-2.809,1.523,1.105,-0.582,-0.013,0.97,0.337,-0.037,0.485,0.311,0.479,1.012,0.48,0.387,0.555,0.864,0.629
reason_question_understand,1.031,0.597,-0.052,0.841,-0.556,0.452,0.257,-0.201,-0.832,0.297,-2.395,0.731,0.797,-1.043,-0.368,0.215,0.297,-1.241,-0.644,0.153,0.451,-1.429,0.464,0.477,0.653,0.71,0.629
reason_question_relevance,1.193,0.551,0.069,0.761,-0.379,0.518,0.229,0.304,0.895,0.298,-0.791,2.582,0.86,1.041,0.081,0.768,0.275,0.295,-0.695,0.127,0.455,-1.527,-0.954,0.081,0.547,-1.742,0.629
reason_noquestion_clever,2.882,0.237,0.434,0.096,-0.077,0.945,0.261,1.663,0.462,0.562,-1.099,2.023,0.797,0.58,-1.303,0,0.367,-3.553,-2.643,0.01,1.031,-2.564,-0.489,0.374,0.55,-0.889,0.316
reason_noquestion_misunderstand,0.46,0.795,0.05,0.832,-0.412,0.512,0.236,0.212,0.53,0.503,-1.02,2.08,0.791,0.67,-0.576,0.048,0.291,-1.978,-1.688,0.008,0.632,-2.672,0.083,0.868,0.503,0.166,0.795
reason_noquestion_intimidated_audience,6.286,0.043,0.755,0.02,0.119,1.392,0.325,2.326,-0.026,0.981,-2.22,2.168,1.119,-0.023,-0.535,0.154,0.376,-1.424,-1.873,0.07,1.035,-1.809,-0.9,0.243,0.77,-1.169,0.113
reason_noquestion_intimidated_setting,4.755,0.093,0.708,0.13,-0.209,1.625,0.468,1.513,1.952,0.038,0.104,3.801,0.943,2.07,-0.178,0.73,0.515,-0.345,0.011,0.988,0.774,0.015,0.723,0.285,0.676,1.069,0.186
reason_noquestion_relevance,3.92,0.141,-0.286,0.223,-0.746,0.174,0.235,-1.219,-1.656,0.132,-3.811,0.498,1.099,-1.507,-0.001,0.998,0.278,-0.003,-2.037,0.007,0.751,-2.712,0.979,0.062,0.525,1.866,0.205
reason_noquestion_phrasing,11.48,0.003,0.909,0.001,0.353,1.466,0.284,3.203,1.033,0.2,-0.545,2.611,0.805,1.283,-0.596,0.067,0.325,-1.832,-2.441,0.018,1.034,-2.361,-1.005,0.125,0.655,-1.535,0.013
reason_noquestion_notime,3.883,0.143,-0.409,0.103,-0.901,0.082,0.251,-1.633,0.625,0.431,-0.932,2.183,0.795,0.787,0.922,0.001,0.288,3.2,0.734,0.106,0.454,1.619,0.065,0.913,0.593,0.11,0.205
reason_noquestion_introvert,4.089,0.129,0.526,0.067,-0.037,1.088,0.287,1.832,-0.37,0.739,-2.546,1.807,1.11,-0.333,-0.033,0.918,0.316,-0.103,-2.039,0.048,1.033,-1.974,-1.04,0.176,0.768,-1.354,0.205
reason_noquestion_private,5.375,0.068,0.294,0.205,-0.161,0.749,0.232,1.268,-1.564,0.155,-3.719,0.59,1.099,-1.423,-0.37,0.185,0.279,-1.326,-1.251,0.016,0.521,-2.4,0.343,0.501,0.51,0.672,0.151
reason_noquestion_confidence,8.002,0.018,0.8,0.01,0.19,1.41,0.311,2.571,-0.279,0.802,-2.465,1.907,1.115,-0.25,-1.236,0.004,0.425,-2.909,-16.612,0.984,813.145,-0.02,-0.715,0.275,0.655,-1.092,0.061
