predictor,lrt_chisq,lrt_sig,coef_reason,se_reason,z_reason,lower_reason,upper_reason,pval_reason,coef_female,pval_female,coef_non_binary,pval_non_binary,coef_mid,pval_mid,coef_late,pval_late,coef_other,pval_other,gender_effect,n_yes_female,n_yes_male,n_yes_non_binary,lrt_qval
reason_question_interest,9.701,0.002,1.018,0.332,3.069,0.368,1.668,0.002,-0.476,0.06,1.045,0.344,0.742,0.017,2.007,0.008,0.907,0.126,no_gender_effect,220,102,7,0.006
reason_question_voiceheard,7.799,0.005,1.734,0.758,2.288,0.249,3.22,0.022,-0.495,0.049,0.922,0.411,0.678,0.028,2.104,0.005,0.919,0.123,no_gender_effect,12,9,2,0.0107142857142857
reason_question_appreciate,2.782,0.095,0.463,0.282,1.641,-0.09,1.016,0.101,-0.501,0.046,1.207,0.274,0.748,0.014,2.047,0.007,0.943,0.11,no_gender_effect,53,28,1,0.129545454545455
reason_question_understand,3.911,0.048,0.494,0.25,1.98,0.005,0.983,0.048,-0.511,0.041,1.269,0.252,0.783,0.011,2.162,0.004,0.946,0.109,no_gender_effect,186,82,4,0.08
reason_question_relevance,0.006,0.936,0.018,0.223,0.08,-0.419,0.455,0.936,-0.516,0.038,1.155,0.295,0.736,0.016,2.082,0.006,0.985,0.095,no_gender_effect,129,55,5,0.936
reason_noquestion_clever,7.062,0.008,-0.632,0.238,-2.656,-1.099,-0.166,0.008,-0.465,0.065,1.248,0.261,0.589,0.058,1.852,0.014,0.936,0.116,no_gender_effect,89,29,3,0.015
reason_noquestion_misunderstand,0.809,0.368,-0.203,0.226,-0.9,-0.646,0.239,0.368,-0.516,0.039,1.186,0.282,0.71,0.02,2.015,0.008,0.991,0.093,no_gender_effect,105,44,4,0.46
reason_noquestion_intimidated_audience,10.129,0.001,-0.865,0.273,-3.168,-1.401,-0.33,0.002,-0.425,0.093,1.176,0.29,0.677,0.028,1.929,0.011,0.886,0.136,no_gender_effect,59,14,1,0.00375
reason_noquestion_intimidated_setting,0.187,0.665,-0.165,0.38,-0.434,-0.91,0.58,0.664,-0.508,0.042,1.198,0.279,0.733,0.016,2.081,0.006,0.996,0.091,no_gender_effect,27,6,2,0.7125
reason_noquestion_relevance,0.469,0.494,0.156,0.228,0.684,-0.291,0.604,0.494,-0.506,0.043,1.209,0.274,0.738,0.015,2.131,0.005,0.942,0.111,no_gender_effect,100,50,1,0.57
reason_noquestion_phrasing,3.064,0.08,-0.425,0.242,-1.754,-0.9,0.05,0.079,-0.444,0.08,1.26,0.255,0.689,0.024,1.953,0.01,0.907,0.125,gender_effect,88,20,3,0.12
reason_noquestion_notime,15.556,0,1.071,0.285,3.754,0.512,1.63,0,-0.442,0.082,1.072,0.338,0.559,0.075,1.983,0.009,0.999,0.094,no_gender_effect,65,38,3,0
reason_noquestion_introvert,24.878,0,-1.282,0.262,-4.893,-1.796,-0.769,0,-0.42,0.103,1.143,0.31,0.78,0.014,1.832,0.016,0.818,0.176,no_gender_effect,68,20,1,0
reason_noquestion_private,21.712,0,-1.057,0.23,-4.587,-1.508,-0.605,0,-0.452,0.077,0.864,0.44,0.679,0.03,1.845,0.015,1.103,0.066,no_gender_effect,125,46,1,0
reason_noquestion_confidence,8.483,0.004,-0.76,0.262,-2.906,-1.273,-0.247,0.004,-0.423,0.096,1.137,0.305,0.603,0.052,1.853,0.014,0.904,0.129,no_gender_effect,68,16,1,0.01
